,,,,,,Sample_ID,cp2,cp7,cp19,cp26,cp29,cp32,cp35,cp58,cp1,cp8,cp11,cp14,cp23,cp36,cp39,cp42,cp45,cp49,cp52,cp56,cp62,cp65,cp68,cp71,cp76,cp79,cp82,cp85,cp88,cp5,cp17,cp21,cp27,cp30,cp33,cp55,cp59,cp3,cp9,cp12,cp15,cp24,cp37,cp40,cp43,cp47,cp50,cp53,cp60,cp63,cp66,cp69,cp77,cp80,cp83,cp86,cp89,cp73,cp6,cp18,cp22,cp28,cp31,cp34,cp57,cp72,cp4,cp10,cp13,cp16,cp25,cp38,cp41,cp44,cp48,cp51,cp54,cp61,cp64,cp67,cp70,cp75,cp78,cp81,cp84,cp87
,,,,,,TUMOR_NORMAL,N,N,N,N,N,N,N,N,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,N,N,N,N,N,N,N,N,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,N,N,N,N,N,N,N,N,N,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,METABOLON_ID,PLATFORM,KEGG_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-arachidonoylglycerophosphoethanolamine*,Lipid,Lysolipid,35186,LC/MS neg,,HMDB11517,33964.73,117318.43,118856.9,78670.7,102565.94,129628.1,96872.71,134876.37,,185602.44,144238.15,113210.17,62277.56,100803.5,227928.98,96900.81,76506.81,81451.27,136766.65,137895.63,148685.96,108490.03,101128.19,106092.36,131661.33,57394.17,1321047.94,50671.34,289963.35,152249.44,86369.12,103162.74,96187.68,137113.67,166823.76,159763.65,120850.38,98859.25,204993.04,122911.53,112847.09,122989.44,103226.82,101987.32,102835.8,117213.16,140704.96,70586.1,99000.38,123236.49,120219.6,98871.25,81760.59,104227.66,111230.81,82788.39,110469.39,92785.41,168142.05,62782.32,92461.41,110850.1,119107.1,77461.43,97661.43,160981.5,212365.85,88741.87,82419.64,141735.66,109599.14,180382.25,72190.72,110337.1,156889.11,118295.6,154741.01,172949.78,111051.93,163255.13,63103.47,133086.4,91591,148359.44,109554.28,70658.1
1-arachidonoylglycerophosphoinositol*,Lipid,Lysolipid,34214,LC/MS neg,,,18505.56,167585.32,59621.97,66220.4,74892.27,62108.16,35895.74,52103.89,14146.05,100415.15,86075.55,73524.69,100782.78,65202.09,90143.43,96061.04,79774.1,73533.36,71317.64,101471.66,100940.36,86434.43,61022.58,98558.26,86408.94,16769.89,106141.82,77536.99,196954.05,72477.68,46770.88,74319.37,81418.54,48536.76,89371.51,332595.45,67122.75,147710.9,162762.98,84375.58,71313.52,99541.77,78030.72,63058.05,62155.34,528102.25,102636.87,77043.27,83615.37,67058.23,78643.05,105488.78,67042.58,44083.54,38680.42,151625.33,62046.37,54563.98,138638.54,82866.26,41643.54,80373.79,52626.75,56712.19,50476.77,74289.48,207734.69,77536.99,47711.5,73837.9,70034.29,73292.87,106557.25,118108.66,121512.87,55681.83,92998.15,94328.94,76520.94,98500.17,97455.14,79945.95,52264.14,121071.8,52573.1,100324.04
1-arachidonylglycerol,Lipid,Monoacylglycerol,34397,LC/MS neg,C13857,HMDB11572,,42373.93,27141.21,,38390.78,,20416.45,29411.11,,,,33249.92,,30550.27,28626.15,32973.08,,24805.18,,27939.03,30705.67,21113.82,,31578.23,49792.54,,261208.63,,212939.29,31806.07,,,20098.93,,,17309.13,,84999.01,29605.26,,,,,18456.11,,,,,,,,,,,53562.24,78583.87,,,,,,27332.66,,,,29654.75,,,,41370.96,23870.07,30705.67,,,20689.19,,,,20688.99,33698.45,,,59509.45,,96761.12,53602.96
1-eicosadienoylglycerophosphocholine*,Lipid,Lysolipid,33871,LC/MS pos,,,61638.77,74595.78,,,,388906.94,,,,,,,,,97093.43,83201.08,,81110.46,,,32042.4,,,31659.27,412898.18,397304.78,,212884.01,,,,,15061.08,,23736.48,,,178808.17,374942.42,,,,,,,,,,,,123157.01,46920.63,86065.7,80336.46,414629.98,17457.2,,,59252.65,15829.25,,,150173.72,,,,49809.13,21776.81,,,,,246149.3,94418.64,,,30005.57,83201.08,,19895.51,,,,512103.22,687981.81,108369.6
1-heptadecanoylglycerophosphoethanolamine*,No Super Pathway,No Pathway,37419,LC/MS neg,,,,148363.61,43861.79,105835.23,25589.08,76419.11,155988.67,17737.64,,,56732.75,141404.07,34074.37,67760.85,175086.03,158408.65,84050.99,69446.83,179107.37,98917.95,245584.1,59301.12,25670.59,116631.51,116257.43,20940.91,40456.49,22442.49,13551.53,63580.04,,,71228.95,27576.85,35740.38,28198.33,60855.36,232877.46,144586.9,58390.55,24698.61,189234.41,84412.57,39325.31,35495.54,108869.71,87679.58,38835.95,120223.72,74636.99,45928.48,100379.39,151467.94,26373.69,115752.7,445339.87,110669.09,61300.71,41755.41,37919.16,,134103.65,42620.98,63917.23,67441.68,44257.3,254569.53,149928.26,64288.65,175840.07,99890.84,45017.62,72932.97,88410.55,51107.01,77453.37,111895.23,87542.77,40638.06,200355.72,63772.42,,62664.53,236054.32,258818.13,545279.09
1-linoleoylglycerol (1-monolinolein),Lipid,Monoacylglycerol,27447,LC/MS neg,,,,257380.66,57551.48,57793.99,99871.48,14122.31,15106.61,71484.65,,,104250.68,127649.12,46914.72,78176.81,93145.2,105400.49,34428.62,74398.29,67800.15,72112.03,85524.51,23168.7,19814.19,50063.51,197837.6,108710.41,106189.64,83681.46,342569.83,187560.35,,,59918.28,36054.38,61141.75,45556.83,,1162785.7,123395.11,,,,113342.03,37570.64,,69352.92,75016.18,40878.05,77558.92,70211.11,,51028.64,114423.46,221181.97,501464.78,391459.34,308256.37,,,45845.47,,105436.06,43789.68,70126.25,21684.47,33534.57,335611.81,,,211404.29,82448.85,,124185.32,,43314.68,104358.43,,,58124.34,50312.06,65590.04,48485.1,143915.07,144472.23,767413.27,638233.22
1-linoleoylglycerophosphocholine,Lipid,Lysolipid,34419,LC/MS pos,C04100,,45656.77,127635.5,24650.68,58665.69,,603801.39,45800.8,,,90070.01,209231.1,205717.77,,,89717.67,59405.67,,68648.64,,,35076.98,,143755.3,,520373.08,396372.27,28259.3,239283.86,447539.08,,40358.81,63385.97,,52229.65,124854.2,,,941205.59,625203.14,31791.43,155620.38,23266.1,,183371.83,20902.97,,44531.76,,,,235979.09,101148.18,78991.84,164621.01,527427.51,68490.99,,,70912.01,22405.83,,,109899.87,,,,180288.59,13164.41,18121.12,,,47888.22,247154.35,265298.2,,34987.35,46132.4,123234.88,,34616.99,,,,505873.16,911717.51,109228.01
